rent_sta,lat,long
Taiwan Taipei Xingya Jr. High School,121.57237,25.03632
Taiwan Taipei Construction & Planning Agency,121.5228937,25.0825387
Taiwan Taipei Xinyi Square(Taipei 101),121.5657501,25.0330067
Taiwan Taipei Taipei City Hospital Renai Branch,121.5451677,25.0373574
Taiwan Taipei Taipei Bus Sta.,121.5187085,25.0488533
Taiwan Taipei Xinhai & Xinsheng Intersection,121.4557571,25.031339
Taiwan Taipei Roosevelt & Xinsheng S. Intersection,121.5285068,25.0203177
Taiwan Taipei Huashan 1914?€?Creative Park,121.5293995,25.0441303
Taiwan Taipei MRT Songjiang Nanjing Sta. (Exit 7),121.5332079,25.0522468
Taiwan Taipei Roosevelt & Ningbo E. St. Intersection,121.52555,25.022713
Taiwan Taipei MRT Xiangshan Sta.,121.568984,25.03264
Taiwan Taipei NTNU Library,121.52847,25.02717
Taiwan Taipei MRT Daan Sta.,121.5435968,25.0329936
Taiwan Taipei MRT Xinbeitou Sta.,121.5035367,25.1369362
Taiwan Taipei MRT Zhongshan Sta. (Exit 4),121.5277127,25.0628004
Taiwan Taipei MRT Qilian Sta. (Exit 2),121.5056811,25.120811
Taiwan Taipei MRT Taipower Building Sta. (Exit 2),121.528357,25.0206055
Taiwan Taipei MRT Kunyang Sta. (Exit 1),121.5932518,25.0505117
Taiwan Taipei MRT Dongmen Sta. (Exit 4),121.5289673,25.0337097
Taiwan Taipei Wanda & Xingning Intersection,121.5654177,25.0329694
Taiwan Taipei Longmen Square,121.4984609,25.0730121
Taiwan Taipei MRT Nat?€?l Taiwan U. Hospital Sta.(Exit 4),121.51604,25.041256
Taiwan Taipei National Central Library,121.5166448,25.0373347
Taiwan Taipei MRT Zhongshan Elementary School sta.(Exit 4),121.525274,25.062783
Taiwan Taipei Linsen Park,121.5261111,25.0525
Taiwan Taipei Taipei Fine Arts Museum,121.5248102,25.0724118
Taiwan Taipei TWTC Exhibition Hall 2,121.618116,25.056602
Taiwan Taipei MRT Taipei 101/World Trade Center Sta.,121.5627598,25.0330304
Taiwan Taipei Keelung & Changxing Intersection,121.7391833,25.1276033
Taiwan Taipei Zhongshan Dist. Admin. Office,121.5280478,25.0522823
Taiwan Taipei Taipei Astronomical Museum,121.5182994,25.0958292
Taiwan Taipei MRT Longshan Temple Sta. (Exit. 1),121.5002818,25.0354789
Taiwan Taipei MRT Gongguan Sta.(Exit 2),121.534608,25.0147305
Taiwan Taipei MRT Taipei City Hall Stataion(Exit 3)-2,121.5650821,25.0409614
Taiwan Taipei MRT Daan Park Sta.,121.5357355,25.0335652
Taiwan Taipei Taipei Confucius Temple,121.5166017,25.0729457
Taiwan Taipei MRT Ximen Sta.(Exit 3),121.5080936,25.0419242
Taiwan Taipei Taipei City Hall,121.5654177,25.0329694
Taiwan Taipei MRT Linguang Sta. (Exit 2),121.559406,25.0179504
Taiwan Taipei LiuGong Park,121.5398708,24.9690112
Taiwan Taipei MRT Technology Bldg. Sta.,121.543437,25.026124
Taiwan Taipei Guting Junior High School,121.5109104,25.0246117
Taiwan Taipei MRT Xingtian Temple Sta. (Exit 1),121.5333259,25.0601986
Taiwan Taipei Xinsheng & Heping Intersection,121.5276994,25.0605538
Taiwan Taipei Guoxing & Qingnian Intersection,120.8728615,24.0564429
Taiwan Taipei MRT Jiannan Rd. Sta.(Exit 2),121.5551591,25.0842774
Taiwan Taipei MRT Beitou Sta.,121.4986418,25.1317795
Taiwan Taipei MRT S.Y.S Memorial Hall Stataion(Exit 2.),121.5574551,25.0412043
Taiwan Taipei MRT Shandao Temple Sta(Exit 1),121.5220284,25.0453014
Taiwan Taipei Xinyi Hangzhou Intersection(Chunghwa Telecom),121.5243154,25.0356572
Taiwan Taipei MRT Yuanshan Sta. (Exit 2),121.5192551,25.0718335
Taiwan Taipei MRT Shilin Sta.(Exit 2),121.5249135,25.083279
Taiwan Taipei Emergency Operations Center of Taipei City,121.5661533,25.0288456
Taiwan Taipei MRT Xinyi Anhe Sta.,121.5540996,25.0330158
Taiwan Taipei Zhongqiang Park,121.570112,25.030418
Taiwan Taipei MRT Liuzhangli Sta.,121.5518525,25.023768
Taiwan Taipei Heping Chongqing Intersection,121.5167686,25.0272038
Taiwan Taipei Fude Park,121.400115,24.975122
Taiwan Taipei Sanchangli,121.5654177,25.0329694
Taiwan Taipei MRT Zhongxiao Xinsheng Sta.(Exit 3),121.533914,25.0419944
Taiwan Taipei Roosevelt & Jinglong Intersection,121.52555,25.022713
Taiwan Taipei JinRui Park,121.5882038,25.0879278
Taiwan Taipei Wuchang Park,121.496009,25.080522
Taiwan Taipei Academia Park,121.613051,25.046895
Taiwan Taipei NTUNHS,121.521323,25.1175753
Taiwan Taipei Taipei Wen Shan Sports Center,121.559673,24.9970166
Taiwan Taipei Wenshan Dist. Admin. Center,121.569808,24.989748
Taiwan Taipei MRT Nangang Exhibition Center Sta. (Exit 5),121.6178682,25.0553806
Taiwan Taipei Jiuquan & Yanping Intersection,121.5143138,25.0720142
Taiwan Taipei Dongyuan Elementary School,121.497962,25.022978
Taiwan Taipei Youth Park(Exit 3),121.607467,25.052284
Taiwan Taipei MRT Qiyan Sta.,121.501132,25.125491
Taiwan Taipei Taipei Cultural Center,121.8982449,37.430914
Taiwan Taipei Renai & Linsen Intersection,121.4665862,25.0934295
Taiwan Taipei MRT Guting Sta. (Exit 2),121.5236431,25.0252449
Taiwan Taipei Xinyi & Jianguo Intersection,121.5769572,25.0287024
Taiwan Taipei Keelung & Guangfu Intersection,121.7391833,25.1276033
Taiwan Taipei Songshan Rail Sta.,121.5782834,25.049284
Taiwan Taipei Daye & Datong Intersection,121.4981803,25.1282778
Taiwan Taipei Songde Park,121.84,25.1081
Taiwan Taipei Songde,121.5746318,25.0345658
Taiwan Taipei Yongji & Songxin Intersection,121.5747841,25.0455687
Taiwan Taipei MRT Shipai Sta. (Exit 2),121.5159371,25.1142004
Taiwan Taipei Dafong Park,121.5037717,25.1311499
Taiwan Taipei MRT Jiantan Sta.(Exit 2),121.5249135,25.083279
Taiwan Taipei Bailing Elementary School,121.521715,25.007022
Taiwan Taipei MRT Nanjing Sanmin Sta. (Exit 1),121.562959,25.0515852
Taiwan Taipei MRT Mingde Sta.,121.518848,25.10972
Taiwan Taipei Laosong Elementary School,121.502639,25.038333
Taiwan Taipei MRT Shuanglian Sta. (Exit 2),121.5206632,25.0580243
Taiwan Taipei Shilin Sports Center,121.5215411,25.0893594
Taiwan Taipei MRT Daqiaotou Sta. (Exit 2),121.5129545,25.0632919
Taiwan Taipei Renai & Yanji Intersection,121.4665862,25.0934295
Taiwan Taipei Xinsheng & Changchun Intersection,121.5276994,25.0605538
Taiwan Taipei Wu Xing Bus Station.,121.569793,25.023208
Taiwan Taipei N.T.U.S.T,121.5406792,25.0136906
Taiwan Taipei Taipei Stadium,121.5497414,25.0513848
Taiwan Taipei Shude Park,121.516319,25.066882
Taiwan Taipei MRT Minquan W.Rd. Sta.(Exit 3),121.519319,25.062905
Taiwan Taipei Jinshen & Civic Blvd. Intersection,121.6367773,25.2223616
Taiwan Taipei MRT Xihu Sta. (Exit 1),121.5666872,25.0829158
Taiwan Taipei Huajiang High School,121.4971355,25.0279587
Taiwan Taipei Qingjiang Elementary School,121.5074877,25.1268303
Taiwan Taipei MRT Zhongxiao Fuxing Sta.(Exit 2),121.543511,25.0402786
Taiwan Taipei Citizen Square,121.5622846,25.0360015
Taiwan Taipei Renai & Yixian Intersection,121.4665862,25.0934295
Taiwan Taipei Zhouzhi Park No.2,121.5685746,25.0795671
Taiwan Taipei Xinyi & Dunhua Intersection,121.5769572,25.0287024
Taiwan Taipei Lishan Elementary School,121.572405,25.0835175
Taiwan Taipei Xingan Huacheng Community,121.5654177,25.0329694
Taiwan Taipei MRT Beimen Sta. (Exit.3),121.533914,25.0419944
Taiwan Taipei Xiangyang & Nangang Intersection,121.5133784,25.0433592
Taiwan Taipei MRT Houshanpi Sta.(Exit 1),121.4590065,25.0616403
Taiwan Taipei Hulu Elementary School,121.5082224,25.0841295
Taiwan Taipei Yuanhuan,121.5265366,25.078502
Taiwan Taipei Lin An-tai Historical House,121.5303571,25.071749
Taiwan Taipei Tienmu Sports Park,121.532537,25.11318
Taiwan Taipei Taipei Medical University,121.561618,25.025354
Taiwan Taipei Chengong Public Housing,121.5484688,25.0290215
Taiwan Taipei MRT Nanjing Fuxing Sta. (Exit 5),121.5448782,25.0517019
Taiwan Taipei Dongxin Elementary School,121.603145,25.057645
Taiwan Taipei JianGuo & Heping Intersection,121.5379054,25.0383484
Taiwan Taipei Taipei Public Library,121.5383984,25.0291547
Taiwan Taipei MinQuan Park,121.5586585,25.0617468
Taiwan Taipei MRT Xingtian Temple Sta. (Exit 3),121.5333259,25.0601986
Taiwan Taipei Zhonglun High School,121.561104,25.048714
Taiwan Taipei XinDong Park,121.568291,25.058918
Taiwan Taipei Minsheng & Dunhua Intersection,121.6447227,25.2219208
Taiwan Taipei Rongxing Park,121.5391412,25.0634668
Taiwan Taipei Minquan & Fuxing Intersection,121.515679,25.0630612
Taiwan Taipei NTU Information Bldg.,121.5403892,25.0216626
Taiwan Taipei Examination Yuan,121.5492616,24.9879826
Taiwan Taipei Zhongzheng & Jihe Intersection,121.5198716,25.0421407
Taiwan Taipei Minsheng Activity Center,121.560935,25.058601
Taiwan Taipei MRT Dahu Park Sta. (Exit 2),121.6020793,25.0838684
Taiwan Taipei MRT Yongchun Sta. (Exit 2),121.5754037,25.0407438
Taiwan Taipei Wenhu Elementary School,121.56021,25.086
Taiwan Taipei Jiuzhuang Recreation Center,121.61952,25.04132
Taiwan Taipei Taipei JingMei Girls High School,121.5561748,24.9807371
Taiwan Taipei Bade Market,121.4152722,25.0035556
Taiwan Taipei MRT Xiaonanmen Sta. (Exit 1),121.5091331,25.0366673
Taiwan Taipei Nanchang Park,121.5203177,25.0270313
Taiwan Taipei Yucheng Park,121.5855774,25.0420817
Taiwan Taipei University of Taipei,121.5135416,25.0355353
Taiwan Taipei Zenhua Park,121.5609363,25.1942462
Taiwan Taipei Lanya Park,121.5298742,25.1097423
Taiwan Taipei Taihe Park,121.570756,25.019084
Taiwan Taipei Songshan Vocational High School,121.5655714,25.0435287
Taiwan Taipei Jiang Wei-shui Memorial Park,121.516843,25.0597689
Taiwan Taipei Xingfong Park,120.9981183,24.8785466
Taiwan Taipei Longjiang & Nanjing Intersection,121.5405891,25.0572357
Taiwan Taipei Jiantan Community,121.538043,25.084918
Taiwan Taipei MRT Zhishan Sta.(Exit 2),121.5225139,25.1030598
Taiwan Taipei Beitou Sports Center,121.509768,25.1164729
Taiwan Taipei Lanxing Park,121.5229999,25.1104007
Taiwan Taipei University of Taipei Tianmu Campus,121.5365794,25.1161421
Taiwan Taipei Linyun Market,121.5654177,25.0329694
Taiwan Taipei Kaifong & Xining Intersection,121.5124524,25.0460502
Taiwan Taipei Minsheng & Guangfu Intersection,121.6447227,25.2219208
Taiwan Taipei Jianguo & Nongan Intersection,121.5379054,25.0383484
Taiwan Taipei Jianguo & Changchun Intersection,121.5379054,25.0383484
Taiwan Taipei MRT Taipei Arena Sta. (Exit 5),121.5531032,25.0517772
Taiwan Taipei Xinsheng & Changan Intersection,121.5276994,25.0605538
Taiwan Taipei Civic Blvd Linsen Intersection,121.5246437,25.0481207
Taiwan Taipei Emei Parking Lot,121.5055855,25.0443421
Taiwan Taipei MRT Gangqian Sta. (Exit 2),121.5758912,25.0796551
Taiwan Taipei Ruiguang & Gangqian Intersection,121.5754364,25.0760766
Taiwan Taipei Yongle Market,121.510283,25.0551656
Taiwan Taipei NTNU Gongguan Campus,121.5359759,25.0081215
Taiwan Taipei Wolong & Leye Intersection,121.554034,25.0186807
Taiwan Taipei Jinshan & Aiguo Intersection,121.6367773,25.2223616
Taiwan Taipei Dunhua & Keelung Intersection,121.5508441,25.0414864
Taiwan Taipei Raohe Night Market,121.5775254,25.0509541
Taiwan Taipei MRT Taipei Zoo Sta.(Exit 2),121.5794887,24.9981742
Taiwan Taipei MRT Huzhou Sta. (Exit 1),121.6074876,25.0735231
Taiwan Taipei Taipei Pot Plant Auction,121.5407369,25.0041338
Taiwan Taipei Taipei City Hakka Cultural Park,121.5253585,25.0202507
Taiwan Taipei Xinyi & Lianyun Intersection,121.5769572,25.0287024
Taiwan Taipei Taipei Municipal Shezi Elementary School,121.5027273,25.089958
Taiwan Taipei Nat?€?l Chengchi U.,121.5756198,24.9864564
Taiwan Taipei Taipei Botanical Garden,121.508655,25.0310042
Taiwan Taipei Sanmin Park,121.567903,25.061969
Taiwan Taipei MRT Dazhi Sta. (Exit 3),121.546894,25.079476
Taiwan Taipei Nangang Park,121.5921317,25.0457002
Taiwan Taipei Fushun Park,121.5220355,25.0646142
Taiwan Taipei Lanya Elementary School,121.523121,25.108283
Taiwan Taipei Donghu Junior High School,121.6194218,25.0721649
Taiwan Taipei MRT Nangang Software Park Sta.(Exit 2),121.615669,25.059993
Taiwan Taipei Xiyuan & Bangka Intersection,121.5264969,24.984127
Taiwan Taipei MRT Donghu Sta.,121.6116271,25.0675213
Taiwan Taipei Xinhu Elementary School,121.5885493,25.0682258
Taiwan Taipei Fulin Park,121.5290357,25.0948074
Taiwan Taipei TWTC Exhibition Hall 3,121.5644922,25.035669
Taiwan Taipei Dadaocheng Park,121.5103463,25.0586103
Taiwan Taipei Fuhua Market,121.593254,25.068994
Taiwan Taipei Donghu Elementary School,121.6160979,25.0692592
Taiwan Taipei Huaxi Park,121.4987777,25.0386499
Taiwan Taipei Fu-an Junior Hight School,121.4878824,25.1032614
Taiwan Taipei Fuhua Garden New Village(City),121.502885,25.029671
Taiwan Taipei Nat?€?l Defense U.,121.3030591,24.9347793
Taiwan Taipei Lequn 2nd & Jingye 4th Intersection,121.5563653,25.079988
Taiwan Taipei Nangang Elementary School,121.6105787,25.0571037
Taiwan Taipei MRT Fuxinggang Sta.,121.485444,25.137473
Taiwan Taipei Civic & Taiyuan Intersection,121.5399124,25.0446819
Taiwan Taipei Yanping Public Housing,121.510349,25.078976
Taiwan Taipei Heti Elementary School,121.5222201,25.0229121
Taiwan Taipei Jihe First Phase Republic Housing,121.5215319,25.0913402
Taiwan Taipei MRT Wende Sta. (Exit 2),121.5849812,25.0786084
Taiwan Taipei MRT Muzha Sta.,121.573145,24.99824
Taiwan Taipei Xingyun & Jinhu Intersection,121.5937232,25.0794429
Taiwan Taipei Dongyang Park,121.598463,25.057896
Taiwan Taipei MRT Jingmei Sta.,121.5406103,24.9931127
Taiwan Taipei Mucha Guanghui Intersection,121.5654177,25.0329694
Taiwan Taipei Taipei Flowers Auction,121.575088,25.062688
Taiwan Taipei Peiying Park,121.5449791,25.0821311
Taiwan Taipei Bei'an & Dazhi Intersection,121.5415678,25.0777783
